KJHKJ,0.0
DSFD,0.0
FSD,205.15
FDSFD,339.5
DSAF,0.0
KK,101.25
ADAF,197.0
J,0.0
KJ,0.0
SDFSD,0.0
SDAF,0.0
ASDFA,0.0
ASDF,0.0
FSAFD,0.0
FDSAFD,0.0
AFD,0.0
KJ,0.0
ASDFS,0.0
VXV,0.0
SDFS,0.0
LKJ,0.0
KJH,0.0
ASDF,0.0
ASDFA,446.55
SDF,0.0
GDFG,0.0
DFG,0.0
FDSG,0.0
DSF,511.35
ASFDS,0.0
SDF,0.0
ASDF,0.0
SDF,0.0
SDF,514.75
SDFSD,499.0
SDGFSD,413.65
DGFDFG,282.35
KJHKDFS,82.8
SFA,204.5
FSD,0.0
WRE,387.45
JHGJ,60.5
SDFSD,304.70000000000005
GDSGD,160.75
KJHKJH,0.0
KLJ,599.0
DGDFG,267.35
J,0.0
KJH,215.60000000000002
GDF,588.6
GDFG,0.0
FHG,0.0
DG,0.0
DFGDFG,335.15
GDFG,159.9
DS,476.9
KJHK,114.0
SDF,0.0
GDG,0.0
FSFD,421.4
KJH,552.0
SDFS,573.9
FASDF,112.5
KJH,547.6
SDFDS,124.5
KJHKJH,229.5
KJHKJ,536.8
